method,train_f1,test_f1,train_ari,test_ari,n_clusters_train,n_clusters_test,noise_train,noise_test,silhouette_train,silhouette_test
bow,0.15561076604554863,0.35740740740740745,0.0013761414393506479,0.22841777526181714,5,2,0,0,0.58754826,0.52930754
act2vec,0.2901617250673854,0.2153846153846154,0.001526391806722689,0.11799267297988525,4,3,0,0,0.8643046,0.8261937
graph2vec,0.17781076066790352,0.17254901960784313,0.014755895853853444,-0.025717882620945987,6,2,13,3,0.17781903,0.025750648
