cluster,count,avg_trace_length,avg_duration,std_duration,avg_length,std_length
-1,13,6.923076923076923,771865.1538461539,287201.38805051247,6.923076923076923,0.2773500981126145
0,10,6.9,811640.7,335425.3861962448,6.9,0.316227766016838
1,6,7.0,1019413.0,353902.00181519176,7.0,0.0
2,4,6.75,746176.0,177873.19039697916,6.75,0.5
3,10,7.0,845953.6,285484.0632400423,7.0,0.0
4,9,7.0,880074.8888888889,313162.54215041606,7.0,0.0
5,18,6.777777777777778,820355.6666666666,342471.2647672709,6.777777777777778,0.42779263194649875
